t_id,vendor_id,buyer_id,prod_id,date_time,amount,validated_by,status
20133371067,328a7425-6d21-42da-a4da-3669dd829b25,344f1d34-bbd1-4708-b19e-d87a639d7f5b,469008,2013-10-24,5948200.00,41378877,
20134357657,d500e6b2-c946-43c1-b899-3da59e0dba6c,ebf9777f-bb99-4d08-9656-cfe8e45d56e4,318287,2013-07-28,1362900.00,41378877,
20139201954,e5c65e13-3f89-4f82-bf39-a8560e52f115,07483d39-d3ed-4257-9f13-151cc76ae55e,110645,2013-05-17,508500.00,41378877,
20139908172,5d26b60f-9b1c-4230-aa05-28b0809b41fd,2a6265e6-c112-4d6b-ab44-90684abfdf43,888162,2013-07-25,852400.00,41378877,
20139563004,cfa187ac-568c-4907-966e-f786d0e53582,5830612d-bc20-45a8-96a2-b8688d15f3dd,778256,2013-11-04,1718900.00,41378877,
20135761361,0ebb889c-dcfa-4dc9-9ac4-de2879d4a61b,4b439980-6bc8-49a6-acf9-0365863d2b28,151879,2013-11-13,93600.00,41378877,
20148989927,ed75ebb9-45cd-41fc-baec-b55f83706926,0868585d-acf5-4193-a3fe-54f90c37d363,866740,2014-02-10,1008900.00,41378877,
20148822626,fcf5dce9-aaa1-4a6c-85c5-03b4d7b9fbc3,1f6d0ff4-252c-454b-a127-b48e35e44139,476093,2014-02-22,652900.00,41378877,
20141847599,8e352dfa-52cc-4d06-a8d5-355ff9ca4d74,fd8460af-a838-4885-9e28-3d3ee2f3ef0f,801246,2014-03-01,435800.00,41378877,
20142442154,7e350d5c-3a9f-41f9-ade3-a605388355b7,4d0ec0b7-71e9-432d-88d8-fa033b87531d,335860,2014-05-07,112100.00,41378877,
20149399006,a7625e72-fadf-4bf8-8554-9622acc3fbcb,557e359d-76ce-4822-aa17-1d14afa6ceb8,460260,2014-09-21,5130800.00,41378877,
20147755244,f6821c08-4915-4fae-b21e-f3aa8f399946,e19c9bdc-83cf-4e81-bde3-50f533b86db6,708283,2014-10-16,1786300.00,41378877,
20156755147,f9ea818b-60cd-4691-bf76-8314f903f816,7fbb65da-487a-4dfa-802e-016908de506c,687711,2015-03-21,273800.00,41378877,
20155715310,0c2b6f43-9e1e-4535-98b9-762890ffcf03,789dff20-a881-4bbe-bf06-77d4773f13b7,289452,2015-04-25,700100.00,42085670,
20152462677,3e657da6-c29e-41ac-af33-032f874927fb,cbd9e09d-3f68-4af0-803e-8ef5facb6395,959625,2015-06-04,915100.00,42085670,
